"pattern"	"G527_1_P1A11_feces_S1"	"G527_10_P1A26_feces_S10"	"G527_11_P1A28_feces_S11"	"G527_12_P1A29_feces_S12"	"G527_13_P1A4_feces_S13"	"G527_14_P1A7_feces_S14"	"G527_15_P1A8_feces_S15"	"G527_16_P1A9_feces_S16"	"G527_17_P1A11_rumen_S17"	"G527_18_P1A13_rumen_S18"	"G527_19_P1A14_rumen_S19"	"G527_2_P1A13_feces_S2"	"G527_20_P1A19_rumen_S20"	"G527_21_P1A2_rumen_S21"	"G527_22_P1A20_rumen_S22"	"G527_23_P1A218_rumen_S23"	"G527_24_P1A22_rumen_S24"	"G527_25_P1A24_rumen_S25"	"G527_26_P1A25_rumen_S26"	"G527_27_P1A26_rumen_S27"	"G527_28_P1A29_rumen_S28"	"G527_29_P1A4_rumen_S29"	"G527_3_P1A14_feces_S3"	"G527_30_P1A7_rumen_S30"	"G527_31_P1A8_rumen_S31"	"G527_32_P1A9_rumen_S32"	"G527_33_P1A11_SNP_S33"	"G527_34_P1A13_SNP_S34"	"G527_35_P1A14_SNP_S35"	"G527_36_P1A19_SNP_S36"	"G527_37_P1A2_SNP_S37"	"G527_38_P1A20_SNP_S38"	"G527_39_P1A22_SNP_S39"	"G527_4_P1A19_feces_S4"	"G527_40_P1A24_SNP_S40"	"G527_41_P1A25_SNP_S41"	"G527_42_P1A26_SNP_S42"	"G527_43_P1A28_SNP_S43"	"G527_44_P1A29_SNP_S44"	"G527_45_P1A4_SNP_S45"	"G527_46_P1A7_SNP_S46"	"G527_47_P1A8_SNP_S47"	"G527_48_P1A9_SNP_S48"	"G527_49_2019_DNA_S49"	"G527_5_P1A2_feces_S5"	"G527_50_P2A1_feces_S50"	"G527_51_P2A10_feces_S51"	"G527_52_P2A14_feces_S52"	"G527_53_P2A16_feces_S53"	"G527_54_P2A18_feces_S54"	"G527_55_P2A19_feces_S55"	"G527_56_P2A20_feces_S56"	"G527_57_P2A21_feces_S57"	"G527_58_P2A22_feces_S58"	"G527_59_P2A26_feces_S59"	"G527_6_P1A20_feces_S6"	"G527_60_P2A27_feces_S60"	"G527_61_P2A28_feces_S61"	"G527_62_P2A29_feces_S62"	"G527_63_P2A7_feces_S63"	"G527_64_P2A9_feces_S64"	"G527_65_P2A1_rumen_S65"	"G527_66_P2A10_rumen_S66"	"G527_67_P2A14_rumen_S67"	"G527_68_P2A16_rumen_S68"	"G527_69_P2A18_rumen_S69"	"G527_7_P1A22_feces_S7"	"G527_70_P2A19_rumen_S70"	"G527_71_P2A20_rumen_S71"	"G527_72_P2A21_rumen_S72"	"G527_73_P2A22_rumen_S73"	"G527_74_P2A26_rumen_S74"	"G527_75_P2A27_rumen_S75"	"G527_76_P2A28_rumen_S76"	"G527_77_P2A29_rumen_S77"	"G527_78_P2A1_SNP_S78"	"G527_79_P2A10_SNP_S79"	"G527_8_P1A24_feces_S8"	"G527_80_P2A14_SNP_S80"	"G527_81_P2A16_SNP_S81"	"G527_82_P2A18_SNP_S82"	"G527_83_P2A19_SNP_S83"	"G527_84_P2A20_SNP_S84"	"G527_85_P2A21_SNP_S85"	"G527_86_P2A22_SNP_S86"	"G527_87_P2A26_SNP_S87"	"G527_88_P2A27_SNP_S88"	"G527_89_P2A28_SNP_S89"	"G527_9_P1A25_feces_S9"	"G527_90_P2A29_SNP_S90"	"G527_91_P2A7_SNP_S91"	"G527_92_P2A9_SNP_S92"	"G527_93_NoTemplate-DNAextraction1_S93"	"G527_94_NoTemplate-DNAextraction2_S94"	"G527_95_MockCommunity_S95"	"G527_96_NoTemplate-LibraryPrep_S96"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLCSM"	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TTGE"	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	75	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TTGF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEB"	348	0	102	243	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	4	0	1	6	4	0	1	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	137	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEI"	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	3	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEQ"	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_regulator|EMHR"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|EBRA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0
"Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|EBRB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0
"Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE"	3670	0	1861	1202	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	14	4	9	0	8	39	38	0	17	12	9	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	653	0
"Biocides|Paraquat_resistance|Paraquat_efflux_pump|YDDG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0
"Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC"	1685	0	476	541	0	0	0	0	0	4	0	0	0	0	0	4	0	8	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	12	1	6	0	0	10	12	0	7	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1115	0
"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA"	3417	0	1607	1184	0	0	0	0	0	6	0	3	0	1	2	8	0	3	6	3	0	5	3	0	3	0	3	0	0	0	0	0	2	0	1	0	0	39	1	0	0	0	0	0	27	0	22	0	3	28	23	0	17	4	4	0	9	14	8	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	21	3	989	0
"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB"	898	2	222	256	0	2	2	5	6	1	1	2	1	10	2	1	3	5	0	0	4	2	44	1	4	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	13	0	2	0	0	9	11	2	12	0	4	5	2	2	5	1	2	0	0	0	0	0	10	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	4	0	568	0
"Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI"	618	0	219	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	6	3	0	1	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	149	0
"Biocides|Peroxide_resistance|peroxide_resistance_regulator|PERR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0
"Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA"	847	0	519	333	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	0	1	16	13	0	6	1	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	128	0
"Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB"	1782	0	1176	758	0	0	0	0	0	0	0	0	0	2	0	6	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	24	0	14	0	2	38	28	4	26	6	6	0	2	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	331	0
"Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI"	1355	0	431	383	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	1	10	0	1	10	11	1	4	0	2	0	1	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	1	321	0
"Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0
"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIA"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0
"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0
"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIC"	0	0	1	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	0
"Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation"	1350	2	408	332	0	2	0	0	1	0	0	0	0	0	0	1	6	4	5	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	6	0	6	0	0	10	6	0	6	6	1	0	0	2	8	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	3	348	0
"Biocides|Polyamine_resistance|Spermine/spermidine_acetyltransferase|BLTD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
"Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC_efflux_pump|EMEA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0
"Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC-resistant_protein_UDP_glucose_4_epimerase|GALE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Aminocoumarins|Aminocoumarin_efflux_pump|NOVA"	5	2	3	2	3	5	0	2	0	2	0	1	0	12	3	4	0	2	1	6	4	3	1	4	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	4	0	1	0	1	2	0	0	1	1	0	0	0	0	0	8	1	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation"	4489	37	2627	1917	126	143	14	50	152	151	98	66	73	234	98	175	187	99	98	124	234	26	107	102	169	128	3	0	0	4	0	2	0	75	1	0	0	59	0	0	0	0	0	0	117	30	47	28	11	95	69	37	71	27	26	46	38	20	29	23	20	10	0	0	14	9	75	13	6	22	5	34	14	17	23	1	23	58	11	0	0	0	8	2	1	2	4	0	64	2	0	0	26	4	2034	2
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation"	7531	108	3471	2614	685	532	83	413	187	170	92	402	51	269	88	355	226	268	134	235	378	54	575	102	202	117	7	0	0	0	5	0	3	666	0	0	4	132	8	0	0	0	0	3	659	209	113	95	61	212	90	110	179	115	97	338	129	94	151	192	71	29	0	0	26	13	777	23	54	72	24	54	56	34	36	0	40	479	13	0	0	0	0	0	0	4	2	0	667	0	0	0	37	13	9848	0
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARY"	83	22	75	61	88	88	12	66	55	41	33	34	12	58	19	60	46	48	45	93	191	22	76	32	51	41	0	0	0	0	0	0	2	41	1	0	0	0	1	0	0	0	0	0	152	7	18	13	6	6	2	19	16	32	9	94	18	5	22	21	24	12	0	0	1	10	66	6	6	6	10	12	16	8	6	1	9	37	6	0	0	0	2	0	1	0	0	0	87	0	0	0	1	1	0	0
"Drugs|Aminoglycosides|16S_rRNA_methyltransferases|NPMA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTF"	0	6	8	4	8	8	0	2	0	2	0	0	0	0	0	0	0	0	2	2	2	0	6	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	6	8	0	0	6	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTG"	1	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE"	1241	0	463	362	1	0	0	0	2	0	0	1	0	0	3	1	0	0	3	2	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	8	1	2	1	0	11	5	7	9	0	2	0	2	5	1	1	2	1	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	375	0
"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3"	401	0	0	88	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	230	0
"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME"	0	0	2	78	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	4	0	0	0	0	0	2	0	0	0	0	0	0
"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME"	56	41	46	142	199	78	16	60	12	47	3	30	6	198	18	48	30	117	18	61	133	166	195	44	50	13	77	2	0	1	73	0	0	72	0	0	4	0	0	0	0	0	0	0	250	13	47	12	2	16	5	23	5	5	1	31	50	7	17	8	12	1	0	0	1	8	65	0	21	1	5	28	1	5	0	1	10	108	6	0	0	0	6	2	0	0	0	0	90	1	0	0	72	0	283	0
"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME"	4	0	1	113	0	0	0	0	0	0	0	0	0	2	0	46	0	0	0	0	0	0	0	0	0	0	46	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	6	0	0	0	0	0	1	0	0	1	0	0	0
"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME"	939	0	11	4178	169	139	0	0	6	0	23	6	0	15	0	11	0	0	0	0	0	18	248	0	0	0	604	0	8	2	1	0	0	144	0	8	8	441	143	0	0	8	0	0	0	640	1	0	0	0	0	0	146	0	0	0	0	0	0	0	0	148	0	6	8	0	0	0	0	8	0	0	20	0	3	3	0	0	8	0	0	0	320	14	0	0	5	0	0	3	0	0	149	0	0	0
"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME"	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75131	0
"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6"	176	52	294	64	241	92	30	40	38	79	2	37	10	50	166	63	56	51	27	70	320	11	31	52	45	18	1	0	1	0	9	0	0	63	4	0	0	0	0	0	0	0	0	0	100	17	10	0	13	28	3	13	35	11	2	32	13	9	21	12	5	10	0	0	0	5	183	2	5	12	7	3	11	7	7	0	4	64	9	0	0	0	11	10	0	3	0	4	120	9	0	0	0	0	0	0
"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9"	46	73	639	119	673	400	64	205	6	17	9	245	6	22	8	19	33	4	1	8	15	0	65	8	7	5	0	0	0	2	0	0	1	201	0	0	0	0	0	0	0	0	0	0	444	53	42	20	22	20	25	42	22	25	41	178	96	29	34	79	18	1	0	0	2	0	582	0	1	2	3	0	0	2	4	0	1	154	0	0	0	0	1	0	0	0	0	0	375	0	0	0	0	0	0	0
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME"	23	26	45	17	26	67	32	44	7	6	6	33	0	56	12	25	14	61	2	25	104	3	102	19	19	13	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	247	2	23	3	3	0	2	2	0	0	3	28	17	0	5	6	12	0	0	0	2	0	49	0	9	4	3	27	1	3	5	0	7	130	2	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME"	3217	44	50	1405	27	24	31	3	290	25	22	11	66	358	74	501	184	220	193	168	52	19	58	94	69	11	192	0	0	0	22	0	1100	59	8	0	148	90	20	0	0	0	22	1	9	0	23	0	0	15	0	0	8	0	9	0	7	0	0	55	11	0	0	8	7	77	0	22	0	3	11	50	9	55	12	0	11	40	11	0	0	0	7	14	0	0	51	0	3	0	0	0	27817	4320	236	0
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME"	0	12	12	36	0	0	9	0	78	6	6	3	18	154	18	132	51	63	51	45	0	72	9	18	15	3	6	0	0	0	6	0	306	0	0	0	42	3	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	0	0	0	21	0	6	0	0	3	15	3	15	0	0	3	6	3	0	0	0	0	0	0	0	15	0	0	0	0	0	7746	1197	565	0
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6"	3418	8	28	1574	46	40	2	10	14	8	4	2	0	40	30	12	28	8	16	54	70	18	30	6	36	26	272	0	0	0	0	0	0	36	8	8	0	104	0	0	0	0	0	0	22	4	30	6	2	36	8	0	16	0	4	16	12	0	2	4	10	0	0	0	0	8	12	4	4	2	2	8	0	2	6	0	0	8	4	0	0	0	8	0	0	0	0	0	14	0	0	0	8	0	0	0
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	515192	153679	488157	401241	579150	626688	79731	287410	128240	124099	85265	338617	33167	149333	62588	156591	126313	113521	70669	163063	287093	43046	404618	54328	117220	81382	1314	105	222	197	200	15	101	350701	217	60	150	4086	79	0	11	135	68	23	530763	84231	58868	59867	46914	87863	52063	106482	57795	68871	63719	323477	96065	54595	98534	91425	67985	20550	0	112	11534	13963	466943	15010	21398	58665	17804	32915	19871	33009	28995	150	27135	366105	20020	11	33	0	605	782	66	224	493	111	391619	104	3	0	995	118	158237	10
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RPSL|RequiresSNPConfirmation"	3	1	4	1	7	12	1	8	6	9	8	0	5	13	10	18	12	11	12	19	39	8	6	8	12	11	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	3	0	2	1	2	2	6	3	2	2	4	3	1	0	0	2	5	12	2	1	3	2	8	0	0	4	0	9	3	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
